Nº DO LOTE;ENTRADA DE SAL EM FINO;ESTOQUE DE SAL EM FINO AU;DATA DA ENTREGA;Nº DO PEDIDO;data;NOME DO CLIENTE ; PEDIDOS EM FINO ; SEDEX ;AMOSTRAS E TESTES; PAGAMENTO DE TEOR ; PEDIDOS EM SAL ;METAL EM SAL;;;;;;;;
1098-a;;85,44;21/12/2020;29546;;AMON; 4,50 ;;;; 6,62 ;125,5986602;;;;;;;;
1098-a;;35,44;;29547;;MIX METAIS; 50,00 ;;;; 73,50 ;52,09866021;;;;;;;;
1098-a;;10,44;;29548;;michester; 25,00 ;;;; 36,75 ;15,34866021;;;;;;;;
1098-a;;0,44;;29549;;MICHESTER; 10,00 ;;;; 14,70 ;0,64866021;;;;;;;;
1099;653,6734694;604,11;02/01/2021;29550;;MIX METAIS; 50,00 ;;;; 73,50 ;888,0486602;;;;;;;;
1099;;507,61;01/01/2021;29551;;hector; 96,50 ;;;; 141,86 ;746,1936602;;;;;;;;
1099;;483,49;01/01/2021;29552;;ART METAL; 24,12 ;;;; 35,46 ;710,7372602;;;;;;;;
1099;;468,49;01/01/2021;29553;;GEMAS DO MUNDO; 15,00 ;;;; 22,05 ;688,6872602;;;;;;;;
1099;;428,49;01/01/2021;29554;;PUZZUOLLI; 40,00 ;;;; 58,80 ;629,8872602;;;;;;;;
1099;;360,47;01/01/2021;29555;;FENIX; 68,03 ;;;; 100,00 ;529,8875702;;;;;;;;
1099;;353,47;01/01/2021;29556;;AMON; 7,00 ;;;; 10,29 ;519,5975702;;;;;;;;
1099;;333,47;01/01/2021;29557;;BIL RODIO; 20,00 ;;;; 29,40 ;490,1975702;;;;;;;;
1099;;323,47;01/01/2021;29558;;CORREA; 10,00 ;;;; 14,70 ;475,4975702;;;;;;;;
1099;;313,47;01/01/2021;29559;;KARAM; 10,00 ;;;; 14,70 ;460,7975702;;;;;;;;
1099;;293,47;01/01/2021;29560;;RD BRINDES; 20,00 ;;;; 29,40 ;431,3975702;;;;;;;;
1099;;288,47;01/01/2021;29561;;four metalic; 5,00 ;;;; 7,35 ;424,0475702;;;;;;;;
1099;;268,47;01/01/2021;29562;;PELEGRINO; 20,00 ;;;; 29,40 ;394,6475702;;;;;;;;
1099;;214,77;01/01/2021;29563;;FAFA; 53,70 ;;;; 78,94 ;315,7085702;;;;;;;;
1099;;199,77;01/01/2021;29564;;MICHESTER; 15,00 ;;;; 22,05 ;293,6585702;;;;;;;;
1099;;189,77;01/01/2021;29565;;CORREA; 10,00 ;;;; 14,70 ;278,9585702;;;;;;;;
1099;;179,77;01/01/2021;29566;;LOEFLER; 10,00 ;;;; 14,70 ;264,2585702;;;;;;;;
1099;;167,77;01/01/2021;29567;;AMON; 12,00 ;;;; 17,64 ;246,6185702;;;;;;;;
1099;;127,77;01/01/2021;29568;;CONTRESS; 40,00 ;;;; 58,80 ;187,8185702;;;;;;;;
1099;;97,77;01/01/2021;29569;;PAULO BRUM; 30,00 ;;;; 44,10 ;143,7185702;;;;;;;;
1099;;47,77;01/01/2021;29570;;SOLANGE LOPES; 50,00 ;;;; 73,50 ;70,21857021;;;;;;;;
1100;2072,108844;2051,85;05/01/2021;29571;;FENIX; 68,03 ;;;; 100,00 ;3016,21888;;;;;;;;
1100;;2041,85;01/01/2021;29572;;CORREA; 10,00 ;;;; 14,70 ;3001,51888;;;;;;;;
1100;;2026,85;01/01/2021;29573;;MICHESTER; 15,00 ;;;; 22,05 ;2979,46888;;;;;;;;
1100;;1978,60;01/01/2021;29574;;GBL HECTOR; 48,25 ;;;; 70,93 ;2908,54138;;;;;;;;
1100;;1967,60;01/01/2021;29575;;AMON; 11,00 ;;;; 16,17 ;2892,37138;;;;;;;;
1100;;1463,79;01/01/2021;29576;;CENNABRAS; 503,81 ;;;; 740,60 ;2151,77068;;;;;;;;
1100;;1395,76;01/01/2021;29577;;FENIX; 68,03 ;;;; 100,00 ;2051,770549;;;;;;;;
1100;;1295,76;01/01/2021;29578;;PERFUR; 100,00 ;;;; 147,00 ;1904,770549;;;;;;;;
1100;;1265,76;01/01/2021;29579;;Paulo Brum; 30,00 ;;;; 44,10 ;1860,670549;;;;;;;;
1100;;1255,76;01/01/2021;29580;;correa; 10,00 ;;;; 14,70 ;1845,970549;;;;;;;;
1100;;280,76;01/01/2021;29581;;BRUNA; 975,00 ;;;; 1.433,25 ;412,7205492;;;;;;;;
1100;;270,76;01/01/2021;29582;;sportBrindes; 10,00 ;;;; 14,70 ;398,0205492;;;;;;;;
1100;;260,76;01/01/2021;29583;;correA; 10,00 ;;;; 14,70 ;383,3205492;;;;;;;;
1100;;255,76;01/01/2021;29584;;NATHY; 5,00 ;;;; 7,35 ;375,9705492;;;;;;;;
1100;;245,76;01/01/2021;29585;;four metalic; 10,00 ;;;; 14,70 ;361,2705492;;;;;;;;
1100;;177,73;01/01/2021;29586;;FENIX; 68,03 ;;;; 100,00 ;261,2704182;;;;;;;;
1100;;137,73;01/02/2021;29587;;PUZZUOLLI; 40,00 ;;;; 58,80 ;202,4704182;;;;;;;;
1100;;126,73;01/02/2021;29588;;amon; 11,00 ;;;; 16,17 ;186,3004182;;;;;;;;
1100;;116,73;01/02/2021;29589;;juny jully; 10,00 ;;;; 14,70 ;171,6004182;;;;;;;;
1100;;96,73;01/02/2021;29590;fev/21;Wnjou; 20,00 ;;;; 29,40 ;142,2004182;;;;;;;;
1100;;86,73;01/02/2021;29591;;loefler; 10,00 ;;;; 14,70 ;127,5004182;;;;;;;;
1101;1129,210408;1205,95;01/02/2021;29592;;coRREA; 10,00 ;;;; 14,70 ;1772,739718;;;;;;;;
1101;;1109,45;01/02/2021;29593;;HECTOR; 96,50 ;;;; 141,86 ;1630,884718;;;;;;;;
1101;;1099,45;01/02/2021;29594;;MUNDIAL; 10,00 ;;;; 14,70 ;1616,184718;;;;;;;;
1101;;544,96;01/02/2021;29595;;BRUNA; 554,48 ;;;; 815,09 ;801,0947229;;;;;;;;
1101;;529,96;01/02/2021;29596;;MICHESTER; 15,00 ;;;; 22,05 ;779,0447229;;;;;;;;
1101;;514,96;01/02/2021;29597;;GEMAS DO MUNDO; 15,00 ;;;; 22,05 ;756,9947229;;;;;;;;
1101;;504,96;01/02/2021;29598;;CORREA; 10,00 ;;;; 14,70 ;742,2947229;;;;;;;;
1101;;436,94;01/02/2021;29599;;FENIX; 68,03 ;;;; 100,00 ;642,2945919;;;;;;;;
1101;;376,94;01/02/2021;29600;;CONTRESS; 60,00 ;;;; 88,20 ;554,0945919;;;;;;;;
1101;;345,71;01/02/2021;29601;;PAULO BRUM; 31,23 ;;;; 45,91 ;508,1864919;;;;;;;;
1101;;343,71;01/02/2021;29602;;rafael BASSI; 2,00 ;;;; 2,94 ;505,2464919;;;;;;;;
1101;;307,27;01/02/2021;29603;;BILL RHODIO; 36,44 ;;;; 53,57 ;451,6796919;;;;;;;;
1101;;239,24;01/02/2021;29604;;FENIX; 68,03 ;;;; 100,00 ;351,6795609;;;;;;;;
1101;;180,94;01/02/2021;29605;;MIX METAIS; 58,30 ;;;; 85,70 ;265,9785609;;;;;;;;
1101;;170,94;01/02/2021;29606;;CORREA; 10,00 ;;;; 14,70 ;251,2785609;;;;;;;;
1101;;155,94;01/02/2021;29607;;MICHESTER; 15,00 ;;;; 22,05 ;229,2285609;;;;;;;;
1101;;125,94;01/02/2021;29608;;RD BRINDES; 30,00 ;;;; 44,10 ;185,1285609;;;;;;;;
1101;;111,94;01/02/2021;29609;;AMON; 14,00 ;;;; 20,58 ;164,5485609;;;;;;;;
1101;;101,94;01/02/2021;29610;;FOUR METALIC; 10,00 ;;;; 14,70 ;149,8485609;;;;;;;;
1101;;96,94;01/02/2021;29611;;sportBrindes; 5,00 ;;;; 7,35 ;142,4985609;;;;;;;;
1101;;91,94;01/02/2021;29612;;NATHY; 5,00 ;;;; 7,35 ;135,1485609;;;;;;;;
1101;;23,91;01/02/2021;29613;;FENIX; 68,03 ;;;; 100,00 ;35,14842991;;;;;;;;
1101;;13,91;01/02/2021;29614;;CORREA; 10,00 ;;;; 14,70 ;20,44842991;;;;;;;;
1101;;-1,09;01/02/2021;29615;;MICHESTER; 15,00 ;;;; 22,05 ;-1,60157009;;;;;;;;
1101;;-45,83;01/02/2021;29616;;FAFA; 44,74 ;;;; 65,77 ;-67,36937009;;;;;;;;
1102;834,2857143;720,43;22/02/2021;29617;;OFICINA ORIELNTAL; 68,03 ;;;; 100,00 ;1059,030499;;;;;;;;
1102;;710,43;01/02/2021;29618;;LOEFLER; 10,00 ;;;; 14,70 ;1044,330499;;;;;;;;
1102;;700,43;01/02/2021;29619;;CORREA; 10,00 ;;;; 14,70 ;1029,630499;;;;;;;;
1102;;695,43;01/02/2021;29620;;NATHY; 5,00 ;;;; 7,35 ;1022,280499;;;;;;;;
1103;1196,734694;1882,16;24/02/2021;29621;;CORREA; 10,00 ;;;; 14,70 ;2766,780499;;;;;;;;
1103;;882,16;01/02/2021;29622;;CENNABRAS; 1.000,00 ;;;; 1.470,00 ;1296,780499;;;;;;;;
1103;;877,16;01/03/2021;29623;;NATHY; 5,00 ;;;; 7,35 ;1289,430499;;;;;;;;
1103;;827,16;01/03/2021;29624;;MIX METAIS; 50,00 ;;;; 73,50 ;1215,930499;;;;;;;;
1104;1095,578231;1891,94;01/03/2021;29625;;PAULO BRUM; 30,80 ;;;; 45,28 ;2781,154499;;;;;;;;
1104;;1881,94;01/03/2021;29626;;CORREA; 10,00 ;;;; 14,70 ;2766,454499;;;;;;;;
1104;;1864,94;01/03/2021;29627;;AMON; 17,00 ;;;; 24,99 ;2741,464499;;;;;;;;
1104;;1816,69;01/03/2021;29628;;HECTOR; 48,25 ;;;; 70,93 ;2670,536999;;;;;;;;
1104;;841,69;01/03/2021;29629;;BRUNA; 975,00 ;;;; 1.433,25 ;1237,286999;;;;;;;;
1104;;354,19;01/03/2021;29630;;BRUNA; 487,50 ;;;; 716,63 ;520,6619989;;;;;;;;
1104;;344,19;01/03/2021;29631;;CORREA; 10,00 ;;;; 14,70 ;505,9619989;;;;;;;;
1104;;334,19;01/03/2021;29632;;FOUR METALIC; 10,00 ;;;; 14,70 ;491,2619989;;;;;;;;
1104;;324,19;01/03/2021;29633;;LOEFLER; 10,00 ;;;; 14,70 ;476,5619989;;;;;;;;
1104;;304,19;01/03/2021;29634;;PELEGRINO; 20,00 ;;;; 29,40 ;447,1619989;;;;;;;;
1104;;264,19;01/03/2021;29635;;PUZZUOLLI; 40,00 ;;;; 58,80 ;388,3619989;;;;;;;;
1104;;196,16;01/03/2021;29636;;FENIX; 68,03 ;;;; 100,00 ;288,3618679;;;;;;;;
1104;;128,14;01/03/2021;29637;;oficina orienteal; 68,03 ;;;; 100,00 ;188,3617369;;;;;;;;
1104;;128,14;01/03/2021;29638;;zat folheação; -   ;;;; -   ;188,3617369;;;;;;;;
1104;;113,14;01/03/2021;29639;;michester; 15,00 ;;;; 22,05 ;166,3117369;;;;;;;;
1104;;103,14;01/03/2021;29640;;karam; 10,00 ;;;; 14,70 ;151,6117369;;;;;;;;
1104;;73,14;01/03/2021;29641;;PAULO BRUM; 30,00 ;;;; 44,10 ;107,5117369;;;;;;;;
1104;;63,14;01/03/2021;29642;;correa; 10,00 ;;;; 14,70 ;92,81173691;;;;;;;;
1104;;3,14;01/03/2021;29643;;CONTRESS; 60,00 ;;;; 88,20 ;4,61173691;;;;;;;;
1105; 999,18 ;991,32;15/03/2021;29644;;CORREA; 10,00 ;;1;; 16,17 ;1457,241737;;;;;;;;
1105;;976,32;01/03/2021;29645;;GEMAS DO MUNDO; 15,00 ;;;; 22,05 ;1435,191737;;;;;;;;
1105;;908,29;01/03/2021;29646;;FENIX; 68,03 ;;;; 100,00 ;1335,191606;;;;;;;;
1105;;903,29;01/03/2021;29647;;NATHY; 5,00 ;;;; 7,35 ;1327,841606;;;;;;;;
1105;;803,29;01/03/2021;29648;;PERFUR; 100,00 ;;;; 147,00 ;1180,841606;;;;;;;;
1105;;793,29;01/03/2021;29649;;ALBERTO ALVES; 10,00 ;;;; 14,70 ;1166,141606;;;;;;;;
1105;;780,29;01/03/2021;29650;;GLAUCO; 13,00 ;;;; 19,11 ;1147,031606;;;;;;;;
1105;;776,89;01/03/2021;29651;;ANTONIO CUSTODIO; 3,40 ;;;; 5,00 ;1142,033606;;;;;;;;
1105;;761,89;01/03/2021;29652;;MICHESTER; 15,00 ;;;; 22,05 ;1119,983606;;;;;;;;
1105;;751,89;01/03/2021;29653;;LOEFLER; 10,00 ;;;; 14,70 ;1105,283606;;;;;;;;
1105;;711,89;01/03/2021;29654;;PUZZUOLLI; 40,00 ;;;; 58,80 ;1046,483606;;;;;;;;
1105;;681,09;01/03/2021;29655;;ART METAL; 30,80 ;;;; 45,28 ;1001,207606;;;;;;;;
1105;;681,09;01/03/2021;29656;;CANCELADO;;;;; -   ;1001,207606;;;;;;;;
1105;;651,09;01/03/2021;29657;;PAULO BRUM; 30,00 ;;;; 44,10 ;957,1076059;;;;;;;;
1105;;641,09;01/03/2021;29658;;CORREA; 10,00 ;;;; 14,70 ;942,4076059;;;;;;;;
1105;;639,09;01/03/2021;29659;;rafael BASSI; 2,00 ;;;; 2,94 ;939,4676059;;;;;;;;
1105;;634,09;01/03/2021;29660;;NATHY; 5,00 ;;;; 7,35 ;932,1176059;;;;;;;;
1105;;621,09;01/03/2021;29661;;AMON; 13,00 ;;;; 19,11 ;913,0076059;;;;;;;;
1105;;572,84;01/03/2021;29662;;HECTOR; 48,25 ;;;; 70,93 ;842,0801059;;;;;;;;
